PID,TYPE,BC,PSR,TRG,CONV
456,PASS,XX-0000,RC-2800,RI-0200,Y
1276,RUSH,KF-0200,XX-0000,XX-0000,N
1408,RUSH,JS-6500,XX-0000,XX-0000,Y
1621,PASS,XX-0000,JP-3200,DB-3100,N
1766,PASS,XX-0000,RL-0300,FJ-0500,N
2411,RUSH,OG-0300,XX-0000,XX-0000,N
2421,PASS,XX-0000,KW-0500,AH-0200,N
2527,PASS,XX-0000,TB-0200,BC-1600,Y
2777,PASS,XX-0000,BF-0100,TD-0800,Y
3050,RUSH,MA-1000,XX-0000,XX-0000,Y
3736,PASS,XX-0000,DM-2200,CJ-1400,N
3859,PASS,XX-0000,XX-0000,XX-0000,N
3902,PASS,XX-0000,JB-3800,WJ-0200,N
4069,PASS,XX-0000,RM-4300,TO-0200,Y
4703,RUSH,TJ-2700,XX-0000,XX-0000,N
4879,RUSH,CM-0600,XX-0000,XX-0000,N
6136,RUSH,LJ-1000,XX-0000,XX-0000,N
7953,PASS,XX-0000,GF-0400,RS-2100,N
8048,PASS,XX-0000,EG-0600,TR-0300,N
9002,PASS,XX-0000,VT-0200,LC-0800,Y
9167,RUSH,RD-0700,XX-0000,XX-0000,N
9459,RUSH,EJ-0200,XX-0000,XX-0000,Y
9567,PASS,XX-0000,TA-0300,JH-1800,Y
10082,RUSH,MA-1000,XX-0000,XX-0000,N
10134,PASS,XX-0000,BG-1900,EM-0500,Y
11425,PASS,XX-0000,DM-2200,TS-1900,Y
11715,RUSH,SP-1400,XX-0000,XX-0000,N
12583,PASS,XX-0000,BF-0100,DD-2600,Y
13555,RUSH,RG-0200,XX-0000,XX-0000,Y
15305,RUSH,TB-0400,XX-0000,XX-0000,N
15715,PASS,XX-0000,KL-1700,LF-0300,Y
15738,RUSH,MF-0300,XX-0000,XX-0000,N
15760,RUSH,MF-0300,XX-0000,XX-0000,Y
15781,RUSH,MF-0300,XX-0000,XX-0000,Y
15829,RUSH,JA-1600,XX-0000,XX-0000,Y
15839,PASS,XX-0000,KW-0500,RW-2900,Y
16018,RUSH,BB-1100,XX-0000,XX-0000,N
16378,RUSH,JS-6500,XX-0000,XX-0000,Y
16607,PASS,XX-0000,CC-1400,RK-0200,N
17408,PASS,XX-0000,PM-0200,TW-2100,N
17715,PASS,XX-0000,EG-0600,DA-0600,N
17756,PASS,XX-0000,TG-1600,TH-2300,N
17898,PASS,XX-0000,DC-4400,MW-2900,Y
18555,PASS,XX-0000,VT-0200,RA-1100,N
19671,RUSH,JS-6500,XX-0000,XX-0000,Y
20398,PASS,XX-0000,JK-1500,CF-0300,N
20717,PASS,XX-0000,JH-1100,TF-0700,N
20937,RUSH,KH-1500,XX-0000,XX-0000,N
20974,RUSH,JP-3200,XX-0000,XX-0000,N
21308,PASS,XX-0000,PM-0200,MP-1500,Y
21350,RUSH,EJ-0200,XX-0000,XX-0000,N
21802,PASS,XX-0000,SC-0200,JM-6400,Y
22168,RUSH,TJ-0400,XX-0000,XX-0000,Y
22811,RUSH,JH-1100,XX-0000,XX-0000,N
23137,RUSH,SB-0700,XX-0000,XX-0000,Y
23796,RUSH,KF-0200,XX-0000,XX-0000,Y
25281,PASS,XX-0000,MH-1600,AF-1300,N
25629,PASS,XX-0000,VT-0200,MC-2100,Y
27301,PASS,XX-0000,AB-2900,WJ-0200,N
27627,PASS,XX-0000,DB-4500,DB-3100,N
28072,PASS,XX-0000,KS-2300,MB-4400,N
28090,RUSH,RH-3400,XX-0000,XX-0000,Y
28231,PASS,XX-0000,JG-1000,JT-2800,N
28426,RUSH,CW-0700,XX-0000,XX-0000,N
31181,RUSH,AS-2500,XX-0000,XX-0000,N
32525,PASS,XX-0000,JG-0600,JS-6900,Y
33738,PASS,XX-0000,XX-0000,XX-0000,N
33824,PASS,XX-0000,JG-1000,AC-2300,N
34427,PASS,XX-0000,EG-0600,TG-1300,N
34872,RUSH,TA-0500,XX-0000,XX-0000,Y
34894,RUSH,WR-0500,XX-0000,XX-0000,N
35022,PASS,XX-0000,KW-0500,AH-0200,N
35080,PASS,XX-0000,DC-4400,RM-5000,Y
35543,RUSH,CM-2600,XX-0000,XX-0000,N
35571,RUSH,SB-1900,XX-0000,XX-0000,Y
35891,PASS,XX-0000,JK-1500,SD-0500,N
35910,PASS,XX-0000,XX-0000,XX-0000,N
36382,RUSH,JF-0700,XX-0000,XX-0000,N
36399,PASS,XX-0000,SB-0700,MM-5500,N
38332,PASS,XX-0000,MB-4500,KB-1700,Y
38472,PASS,XX-0000,XX-0000,XX-0000,N
38647,PASS,XX-0000,EG-0600,SM-3500,N
38741,RUSH,JL-1400,XX-0000,XX-0000,Y
39144,RUSH,SK-0400,XX-0000,XX-0000,Y
39614,RUSH,MF-0300,XX-0000,XX-0000,N
40528,PASS,XX-0000,PM-0200,KD-1000,Y
40769,RUSH,MF-0300,XX-0000,XX-0000,N
40794,PASS,XX-0000,KW-0500,MF-0300,Y
41271,PASS,XX-0000,AB-2900,JR-0900,N
43415,RUSH,RG-0200,XX-0000,XX-0000,Y
45370,PASS,XX-0000,DF-1300,CC-4100,N
45595,PASS,XX-0000,RJ-1200,PP-1000,N
46054,RUSH,JM-3500,XX-0000,XX-0000,Y
46238,PASS,XX-0000,RP-1900,EC-0400,N
46280,RUSH,JG-0600,XX-0000,XX-0000,N
46329,PASS,XX-0000,KW-0500,RP-1900,Y
46606,PASS,XX-0000,BG-1900,DC-0800,Y
47222,PASS,XX-0000,BF-0100,AF-1300,Y
47915,PASS,XX-0000,PM-0200,MH-1200,N
48906,PASS,XX-0000,CS-4100,TH-0400,N
48918,PASS,XX-0000,CS-4100,MW-1600,N
49365,PASS,XX-0000,EG-0600,BS-4100,N
49403,PASS,XX-0000,JR-2300,DP-1500,N
49456,PASS,XX-0000,AV-0200,SJ-0100,N
50085,RUSH,DM-0700,XX-0000,XX-0000,N
50144,RUSH,DC-4400,XX-0000,XX-0000,Y
50877,RUSH,EJ-1100,XX-0000,XX-0000,N
51581,PASS,XX-0000,CC-1400,SJ-0400,Y
51734,PASS,XX-0000,XX-0000,XX-0000,N
51773,PASS,XX-0000,XX-0000,XX-0000,N
52072,PASS,XX-0000,JK-1500,RD-2100,Y
52283,PASS,XX-0000,RC-2800,QI-0100,N
52435,PASS,XX-0000,TG-1600,TG-1300,Y
52568,PASS,XX-0000,CB-0900,GC-1000,N
52745,RUSH,DB-1500,XX-0000,XX-0000,N
53258,PASS,XX-0000,KW-0500,AH-0200,N
53404,PASS,XX-0000,SM-2400,KD-1900,Y
53588,RUSH,EJ-0200,XX-0000,XX-0000,N
54394,PASS,XX-0000,RC-2800,QI-0100,Y
54517,PASS,XX-0000,SM-2400,DB-1700,Y
54700,PASS,XX-0000,PM-0200,KD-1000,Y
54875,PASS,XX-0000,DC-4400,JR-0900,Y
54907,PASS,XX-0000,BF-0100,WH-0600,N
55961,RUSH,TG-1600,XX-0000,XX-0000,Y
55983,PASS,XX-0000,PM-0200,EJ-0200,Y
56150,PASS,XX-0000,RC-2800,BS-4100,N
56165,PASS,XX-0000,RC-2800,TT-0400,N
56514,RUSH,AT-0500,XX-0000,XX-0000,Y
56902,PASS,XX-0000,CB-0900,LF-0600,N
56938,PASS,XX-0000,CB-0900,LW-0400,Y
57573,RUSH,RW-2600,XX-0000,XX-0000,N
57581,PASS,XX-0000,XX-0000,XX-0000,N
57582,PASS,XX-0000,XX-0000,XX-0000,N
57738,RUSH,DC-4400,XX-0000,XX-0000,Y
57775,PASS,XX-0000,DC-4400,BC-0800,N
57944,PASS,XX-0000,TB-0200,DB-1600,Y
59596,PASS,XX-0000,TG-1600,MR-0800,N
60316,PASS,XX-0000,BG-1900,RS-2100,N
60352,PASS,XX-0000,BG-1900,RS-2100,Y
60387,RUSH,MA-1000,XX-0000,XX-0000,Y
61142,RUSH,TF-0700,XX-0000,XX-0000,N
61826,PASS,XX-0000,AV-0200,EM-1800,Y
62210,PASS,XX-0000,AB-2900,WJ-0200,Y
63453,PASS,XX-0000,CW-1300,IB-0300,N
63499,PASS,XX-0000,JG-0600,EJ-0900,Y
64938,PASS,XX-0000,BJ-1400,MA-0600,Y
65594,RUSH,MM-2800,XX-0000,XX-0000,Y
65601,PASS,XX-0000,MM-2800,CS-0800,N
66225,PASS,XX-0000,JG-0600,TO-0200,N
66574,RUSH,TG-1600,XX-0000,XX-0000,N
66646,PASS,XX-0000,KW-0200,GR-0500,N
67654,RUSH,MF-0300,XX-0000,XX-0000,Y
68148,PASS,XX-0000,EG-0600,OA-0300,N
68687,RUSH,JW-2500,XX-0000,XX-0000,Y
69323,RUSH,JP-3200,XX-0000,XX-0000,Y
69484,PASS,XX-0000,TB-1900,BC-0800,N
70092,PASS,XX-0000,MB-4500,KM-0900,Y
70582,PASS,XX-0000,AV-0200,PP-1000,N
70614,PASS,XX-0000,AV-0200,EM-1800,N
71575,PASS,XX-0000,XX-0000,XX-0000,N
72242,PASS,XX-0000,BJ-1400,MA-0600,Y
73990,PASS,XX-0000,VT-0200,CM-0600,N
74005,PASS,XX-0000,VT-0200,WC-0100,N
74375,PASS,XX-0000,SM-2400,KD-1900,N
74456,PASS,XX-0000,SM-2400,DM-0500,Y
74769,PASS,XX-0000,XX-0000,XX-0000,N
75721,PASS,XX-0000,XX-0000,XX-0000,N
76117,PASS,XX-0000,JK-0200,KM-0300,N
77074,RUSH,SK-0400,XX-0000,XX-0000,Y
77382,RUSH,KM-1100,XX-0000,XX-0000,Y
77581,PASS,XX-0000,XX-0000,XX-0000,N
79245,RUSH,TB-0400,XX-0000,XX-0000,Y
79378,PASS,XX-0000,TD-1400,CF-0300,Y
80271,PASS,XX-0000,XX-0000,XX-0000,N
80355,PASS,XX-0000,TD-1100,JS-6500,N
81003,RUSH,RD-0700,XX-0000,XX-0000,Y
81482,PASS,XX-0000,TG-1600,EK-0300,Y
81908,PASS,XX-0000,TB-0200,ZF-0100,N
81944,RUSH,SD-0400,XX-0000,XX-0000,Y
82368,RUSH,CG-0400,XX-0000,XX-0000,Y
82662,PASS,XX-0000,BF-0100,DD-2600,N
82679,PASS,XX-0000,JG-0600,TS-3400,Y
83801,PASS,XX-0000,KW-0500,EC-0400,N
84314,PASS,XX-0000,VT-0200,AB-1100,Y
84937,RUSH,JW-2500,XX-0000,XX-0000,N
84945,RUSH,TG-1600,XX-0000,XX-0000,N
85419,PASS,XX-0000,MB-4500,JS-4400,Y
86083,RUSH,SM-2400,XX-0000,XX-0000,N
86109,RUSH,EG-0200,XX-0000,XX-0000,Y
87919,PASS,XX-0000,DB-2600,JR-1200,N
89395,PASS,XX-0000,JP-3200,FS-0100,Y
89584,RUSH,AB-2900,XX-0000,XX-0000,Y
89738,PASS,XX-0000,XX-0000,XX-0000,N
90465,RUSH,KW-0200,XX-0000,XX-0000,N
90510,RUSH,AS-2500,XX-0000,XX-0000,Y
91529,PASS,XX-0000,BJ-1400,MA-0600,N
92161,RUSH,AB-2900,XX-0000,XX-0000,Y
92205,RUSH,DM-0700,XX-0000,XX-0000,N
92809,PASS,XX-0000,SM-2400,DM-0500,N
92828,PASS,XX-0000,SM-2400,FW-1100,N
92843,RUSH,EG-0200,XX-0000,XX-0000,N
92973,PASS,XX-0000,DM-2200,CL-0900,Y
93694,RUSH,DC-4400,XX-0000,XX-0000,N
93850,RUSH,BG-1900,XX-0000,XX-0000,N
94731,PASS,XX-0000,DB-3800,CC-4100,N
94969,PASS,XX-0000,MB-4500,FT-0100,Y
95050,RUSH,DS-3500,XX-0000,XX-0000,Y
95159,PASS,XX-0000,TB-2300,MV-0400,N
95290,PASS,XX-0000,AB-2900,JP-1300,N
95385,PASS,XX-0000,TM-0200,HW-0100,Y
95458,PASS,XX-0000,TG-1600,DH-0600,N
95467,RUSH,CM-0600,XX-0000,XX-0000,Y
95982,RUSH,QM-0500,XX-0000,XX-0000,Y
96030,RUSH,JW-2500,XX-0000,XX-0000,N
98052,RUSH,DM-0700,XX-0000,XX-0000,N
98127,PASS,XX-0000,PR-0100,CD-1800,N
98480,PASS,XX-0000,JG-0600,GH-0900,Y
99975,RUSH,DM-0700,XX-0000,XX-0000,N
99981,RUSH,AB-2900,XX-0000,XX-0000,N
100654,PASS,XX-0000,XX-0000,XX-0000,N
100928,PASS,XX-0000,JB-3800,TH-1100,Y
101759,PASS,XX-0000,DC-0700,JG-0100,Y
102234,PASS,XX-0000,TB-2300,DP-0500,N
102362,PASS,XX-0000,AB-2900,BW-1850,Y
102563,PASS,XX-0000,TC-2600,DN-1400,Y
102885,RUSH,EJ-0200,XX-0000,XX-0000,Y
102906,PASS,XX-0000,PM-0200,QI-0100,N
103059,PASS,XX-0000,DM-2200,CL-0900,Y
104319,PASS,XX-0000,PM-0200,MH-1200,Y
105995,RUSH,KF-0200,XX-0000,XX-0000,N
106009,PASS,XX-0000,TB-2300,TB-3300,Y
106418,RUSH,TR-0900,XX-0000,XX-0000,N
106526,PASS,XX-0000,KC-2000,MR-1000,Y
106819,PASS,XX-0000,TM-0200,HW-0100,Y
107587,PASS,XX-0000,RG-0200,JP-3400,Y
108106,PASS,XX-0000,CP-0900,LC-0800,Y
108746,PASS,XX-0000,RL-1400,RW-2600,N
109959,PASS,XX-0000,KS-2300,DK-1100,Y
109973,PASS,XX-0000,AR-0200,HW-0100,Y
110449,PASS,XX-0000,JP-3200,JM-2100,N
111267,PASS,XX-0000,DC-0700,JA-0800,Y
111755,PASS,XX-0000,XX-0000,XX-0000,N
112239,RUSH,TG-1600,XX-0000,XX-0000,Y
112271,RUSH,MH-1600,XX-0000,XX-0000,Y
112379,PASS,XX-0000,BJ-1400,KJ-0700,Y
113583,PASS,XX-0000,JB-3800,RH-3500,N
113910,PASS,XX-0000,JM-4500,SP-1800,N
114049,RUSH,JM-6800,XX-0000,XX-0000,N
114225,PASS,XX-0000,MB-4500,JS-4400,N
114699,PASS,XX-0000,KC-2000,JS-2700,N
114742,RUSH,SM-2400,XX-0000,XX-0000,Y
115350,RUSH,DM-0700,XX-0000,XX-0000,N
115455,PASS,XX-0000,BJ-1400,KJ-0700,Y
115979,RUSH,CT-0100,XX-0000,XX-0000,Y
116139,RUSH,NG-0300,XX-0000,XX-0000,Y
117908,PASS,XX-0000,PR-0100,CD-1800,Y
118120,RUSH,BF-0100,XX-0000,XX-0000,N
118288,PASS,XX-0000,HB-0400,MB-2800,N
118864,PASS,XX-0000,JK-1500,CD-1500,N
118896,RUSH,FT-0100,XX-0000,XX-0000,Y
119742,PASS,XX-0000,RG-0200,JP-3400,Y
119927,PASS,XX-0000,AB-2900,JH-5200,Y
119945,RUSH,DC-4400,XX-0000,XX-0000,Y
120568,RUSH,JG-0600,XX-0000,XX-0000,Y
121509,PASS,XX-0000,MM-2800,BS-1100,Y
122332,RUSH,JM-6800,XX-0000,XX-0000,N
122353,PASS,XX-0000,PM-0200,MP-1500,Y
122644,PASS,XX-0000,DB-3800,RC-0100,N
122832,PASS,XX-0000,SB-0700,SS-1200,N
123985,RUSH,CD-1500,XX-0000,XX-0000,N
124456,PASS,XX-0000,MM-2800,AC-1100,N
124490,PASS,XX-0000,MM-2800,ED-0900,N
124965,PASS,XX-0000,TB-2300,CF-0300,Y
125440,RUSH,AZ-0100,XX-0000,XX-0000,N
125451,PASS,XX-0000,TM-0200,PB-1000,Y
125608,PASS,XX-0000,DB-3800,RC-0100,Y
126581,PASS,XX-0000,KH-2100,QM-0500,N
126622,PASS,XX-0000,AR-0200,JT-4300,Y
126751,PASS,XX-0000,JG-0600,TO-0200,Y
126760,PASS,XX-0000,JG-0600,TO-0200,Y
126799,PASS,XX-0000,JG-0600,TO-0200,N
127107,PASS,XX-0000,HW-0100,PB-1000,Y
127965,PASS,XX-0000,XX-0000,XX-0000,N
127994,PASS,XX-0000,RG-0200,JP-3400,N
128446,PASS,XX-0000,JD-1400,RP-1900,N
128450,RUSH,MB-4500,XX-0000,XX-0000,N
128472,RUSH,NG-0300,XX-0000,XX-0000,N
129225,PASS,XX-0000,BF-0100,BF-1100,Y
129542,RUSH,SM-0100,XX-0000,XX-0000,N
129564,PASS,XX-0000,JF-1400,TM-2800,N
129920,PASS,XX-0000,KB-1300,TH-1100,Y
133301,RUSH,TB-0400,XX-0000,XX-0000,Y
134783,PASS,XX-0000,XX-0000,XX-0000,N
135261,PASS,XX-0000,PR-0100,DM-0900,Y
135885,PASS,XX-0000,DB-2600,EM-1800,N
137297,PASS,XX-0000,JB-3800,BJ-1800,N
137661,PASS,XX-0000,TB-1900,JF-1100,Y
137949,PASS,XX-0000,GF-0400,OS-0700,Y
138009,PASS,XX-0000,XX-0000,XX-0000,N
138290,PASS,XX-0000,TS-0500,AW-0300,N
138501,RUSH,KS-2300,XX-0000,XX-0000,Y
139317,PASS,XX-0000,SM-2400,TC-0100,Y
139677,PASS,XX-0000,PR-0100,LC-0800,N
140336,RUSH,JB-3800,XX-0000,XX-0000,Y
140796,RUSH,JB-3400,XX-0000,XX-0000,Y
143049,PASS,XX-0000,KB-1300,TH-1100,Y
143082,PASS,XX-0000,KB-1300,TH-1100,Y
143569,PASS,XX-0000,VT-0200,AB-1100,N
144355,RUSH,CC-1400,XX-0000,XX-0000,Y
144717,PASS,XX-0000,JG-0600,JW-1200,N
145146,PASS,XX-0000,JH-1700,AH-0200,Y
145194,PASS,XX-0000,JH-1700,SA-0800,Y
145822,PASS,XX-0000,KC-2000,IH-0100,N
146465,RUSH,AH-1200,XX-0000,XX-0000,N
147409,PASS,XX-0000,KB-1300,TH-1100,Y
147735,PASS,XX-0000,PR-0100,DM-0900,Y
148311,RUSH,KC-2000,XX-0000,XX-0000,Y
150461,PASS,XX-0000,CP-0900,SM-3600,N
150495,PASS,XX-0000,CP-0900,AB-1100,Y
150681,PASS,XX-0000,XX-0000,XX-0000,N
151223,PASS,XX-0000,KB-1300,MR-1400,N
151574,RUSH,KW-2400,XX-0000,XX-0000,N
152122,PASS,XX-0000,XX-0000,XX-0000,N
152444,PASS,XX-0000,DF-1300,SA-0700,Y
153112,PASS,XX-0000,DC-4400,HG-0200,Y
154765,RUSH,DR-1300,XX-0000,XX-0000,N
154790,PASS,XX-0000,PM-0200,JM-6800,Y
156285,PASS,XX-0000,AB-2900,BW-1850,N
157414,PASS,XX-0000,DM-2200,CL-0900,N
158253,RUSH,CP-2100,XX-0000,XX-0000,Y
159866,PASS,XX-0000,TG-1600,DH-0600,N
160166,PASS,XX-0000,BF-0100,BF-1100,Y
161627,RUSH,SM-2400,XX-0000,XX-0000,Y
161655,PASS,XX-0000,SM-2400,DM-0500,N
161928,PASS,XX-0000,TC-2600,QM-0500,N
163385,RUSH,CT-0100,XX-0000,XX-0000,N
163555,PASS,XX-0000,DB-3800,DB-3100,Y
164032,RUSH,RH-2600,XX-0000,XX-0000,Y
164096,PASS,XX-0000,DB-2600,BS-1700,N
164708,PASS,XX-0000,TG-1600,EK-0300,N
164869,PASS,XX-0000,CP-0900,KL-1100,N
165047,PASS,XX-0000,BJ-1400,KW-1100,Y
165057,PASS,XX-0000,BJ-1400,CL-0600,N
166307,PASS,XX-0000,JG-0600,BL-1200,Y
167754,PASS,XX-0000,JM-2900,ES-1000,N
167763,RUSH,JM-2900,XX-0000,XX-0000,N
168055,PASS,XX-0000,TC-2600,DN-1400,N
168840,PASS,XX-0000,CP-0900,AB-1100,N
170632,PASS,XX-0000,MB-4800,DL-1900,Y
171459,PASS,XX-0000,JD-1400,MM-5500,N
171475,PASS,XX-0000,JD-1400,KD-1900,N
171489,RUSH,KF-0200,XX-0000,XX-0000,Y
173246,PASS,XX-0000,RG-0200,AW-1000,Y
173423,PASS,XX-0000,TR-0100,BL-1200,N
173542,RUSH,MF-0300,XX-0000,XX-0000,Y
174180,PASS,XX-0000,JM-2900,ES-1000,N
174520,PASS,XX-0000,BR-1100,PB-1000,N
174816,PASS,XX-0000,DC-0700,JG-0100,N
176909,PASS,XX-0000,XX-0000,XX-0000,N
177234,PASS,XX-0000,JH-1700,TS-3400,N
177554,RUSH,JW-1900,XX-0000,XX-0000,Y
177903,PASS,XX-0000,RG-2300,JG-0200,N
178373,PASS,XX-0000,AB-2900,BW-1850,N
178404,PASS,XX-0000,MB-4800,KC-2700,Y
178550,PASS,XX-0000,SM-2400,DM-0500,N
178567,PASS,XX-0000,BL-0600,RW-2400,Y
178702,PASS,XX-0000,BJ-1400,KD-1000,N
178729,PASS,XX-0000,BJ-1400,KD-1000,Y
178890,PASS,XX-0000,MB-4500,TJ-0700,Y
179537,RUSH,TJ-2700,XX-0000,XX-0000,N
180149,PASS,XX-0000,BL-0600,BJ-2300,Y
180924,PASS,XX-0000,TR-0100,CC-4100,N
180964,PASS,XX-0000,TR-0100,CC-4100,Y
182862,PASS,XX-0000,TR-0100,AW-0200,N
182925,RUSH,TR-0100,XX-0000,XX-0000,Y
182939,PASS,XX-0000,TR-0100,BL-1200,Y
184533,PASS,XX-0000,BL-0600,RW-2400,Y
184669,PASS,XX-0000,MH-1600,JS-6400,Y
184822,RUSH,LJ-1500,XX-0000,XX-0000,N
184838,PASS,XX-0000,CP-0900,AB-1100,N
185165,PASS,XX-0000,JD-1400,KC-1500,Y
186628,PASS,XX-0000,BL-0600,EW-0800,Y
187715,PASS,XX-0000,BG-1900,WH-0500,N
188894,PASS,XX-0000,DC-4400,NB-0800,N
189034,PASS,XX-0000,DM-2200,LS-1000,N
189881,PASS,XX-0000,BF-0100,RF-0300,Y
190845,PASS,XX-0000,DC-0700,DA-1600,N
191209,PASS,XX-0000,AF-0300,RM-3100,Y
191373,RUSH,CK-1000,XX-0000,XX-0000,Y
191994,RUSH,MF-0300,XX-0000,XX-0000,Y
192343,PASS,XX-0000,KB-1300,CM-2700,Y
192440,RUSH,DC-4400,XX-0000,XX-0000,Y
194629,RUSH,WM-0300,XX-0000,XX-0000,N
195950,RUSH,SM-2400,XX-0000,XX-0000,Y
196082,PASS,XX-0000,DC-4400,NB-0800,Y
197416,PASS,XX-0000,TG-1600,EK-0300,N
198034,PASS,XX-0000,AB-2900,JH-5200,Y
198695,PASS,XX-0000,TG-1600,EK-0300,Y
199011,RUSH,CD-1500,XX-0000,XX-0000,Y
199687,PASS,XX-0000,MH-1600,JU-0200,N
199836,PASS,XX-0000,KC-2000,JP-3400,N
199848,PASS,XX-0000,KC-2000,DJ-2100,N
200496,PASS,XX-0000,LM-0800,SH-0600,Y
200589,PASS,XX-0000,JN-0500,LF-0200,N
201029,PASS,XX-0000,AF-0300,CC-1300,Y
201333,PASS,XX-0000,CP-0900,WC-0100,N
202540,RUSH,PC-0900,XX-0000,XX-0000,N
202630,PASS,XX-0000,MH-1600,DJ-0100,Y
202817,RUSH,JM-2900,XX-0000,XX-0000,Y
205641,PASS,XX-0000,XX-0000,XX-0000,N
206605,PASS,XX-0000,JH-1700,TS-3400,Y
206797,PASS,XX-0000,BF-0100,DD-2600,Y
207448,PASS,XX-0000,DM-2200,CL-0900,N
207922,PASS,XX-0000,AF-0300,MB-2800,N
207932,PASS,XX-0000,AF-0300,CC-1300,N
208601,PASS,XX-0000,JK-1500,KW-0700,N
208876,PASS,XX-0000,CH-4900,DC-1900,N
209089,RUSH,EJ-0200,XX-0000,XX-0000,Y
210163,PASS,XX-0000,BG-1900,JG-0500,N
211179,PASS,XX-0000,JD-1400,MS-0700,Y
212486,RUSH,WD-0700,XX-0000,XX-0000,N
212602,PASS,XX-0000,CP-0900,AB-1100,N
212632,RUSH,SJ-0200,XX-0000,XX-0000,Y
212831,PASS,XX-0000,JH-1700,RW-3200,N
213006,PASS,XX-0000,DC-4400,OS-0700,Y
213149,PASS,XX-0000,VT-0200,JW-6000,Y
215103,PASS,XX-0000,KC-2000,RM-5000,N
216496,PASS,XX-0000,KW-0500,AB-1300,N
216986,RUSH,SJ-0200,XX-0000,XX-0000,N
218167,PASS,XX-0000,DC-4400,MR-1400,Y
219254,PASS,XX-0000,MS-0200,AC-2700,Y
220951,PASS,XX-0000,AB-2900,ZH-0100,N
221641,PASS,XX-0000,DB-2600,DC-0300,N
221739,PASS,XX-0000,DB-2600,KJ-0700,Y
223095,PASS,XX-0000,XX-0000,XX-0000,N
223149,PASS,XX-0000,DM-2200,BW-1000,Y
224415,PASS,XX-0000,JM-2900,AB-2000,N
224606,PASS,XX-0000,BF-0100,AC-1300,N
224616,PASS,XX-0000,JD-1400,SS-2100,N
224626,PASS,XX-0000,BF-0100,DM-0300,Y
224648,PASS,XX-0000,BF-0100,RF-0300,Y
224984,PASS,XX-0000,MS-0200,BF-0400,Y
225653,PASS,XX-0000,MB-4500,DP-0500,N
226155,PASS,XX-0000,DC-0700,CB-2500,Y
226963,RUSH,LT-0600,XX-0000,XX-0000,N
228038,PASS,XX-0000,TG-1600,MB-2600,Y
229288,RUSH,MF-0300,XX-0000,XX-0000,Y
230227,PASS,XX-0000,DC-0700,MR-1000,N
231715,RUSH,MW-2900,XX-0000,XX-0000,N
233402,PASS,XX-0000,SM-2400,CB-3600,N
234744,PASS,XX-0000,KC-2000,JP-3400,N
234765,RUSH,LJ-1500,XX-0000,XX-0000,Y
235393,PASS,XX-0000,BB-2400,WC-0100,N
236021,PASS,XX-0000,PM-0200,RW-1100,N
236210,PASS,XX-0000,MV-0300,BF-0400,Y
236759,RUSH,OA-0300,XX-0000,XX-0000,Y
237263,PASS,XX-0000,TB-2300,TB-3300,N
237298,PASS,XX-0000,GF-0400,RB-3900,N
237302,RUSH,HE-0300,XX-0000,XX-0000,Y
237483,RUSH,TB-0400,XX-0000,XX-0000,Y
237639,PASS,XX-0000,JP-3200,JP-4400,Y
237910,PASS,XX-0000,MB-4500,CP-2100,Y
237977,RUSH,MA-0600,XX-0000,XX-0000,Y
240118,PASS,XX-0000,KD-1400,JM-6400,N
240263,PASS,XX-0000,KW-0500,AB-2000,Y
240291,PASS,XX-0000,JM-1100,AH-1200,Y
241751,PASS,XX-0000,CP-0500,MS-0500,Y
241763,RUSH,JG-3500,XX-0000,XX-0000,Y
242082,PASS,XX-0000,TB-2300,CF-0300,N
242265,RUSH,RD-1800,XX-0000,XX-0000,N
242791,PASS,XX-0000,EM-0200,JS-2700,Y
243159,PASS,XX-0000,KD-1400,TJ-0400,Y
245735,RUSH,OA-0300,XX-0000,XX-0000,Y
247326,RUSH,DG-0600,XX-0000,XX-0000,Y
254554,PASS,XX-0000,MS-0200,BF-0400,Y
