PID,TYPE,BC,PSR,TRG,CONV
255719,PASS,XX-0000,MC-0700,BC-0900,N
257933,PASS,XX-0000,PM-0200,RW-1100,Y
259657,RUSH,TH-1400,XX-0000,XX-0000,Y
259672,PASS,XX-0000,KC-2000,DB-1700,Y
260650,RUSH,CK-0900,XX-0000,XX-0000,N
261075,PASS,XX-0000,DC-4400,CC-1300,N
264832,RUSH,RD-0700,XX-0000,XX-0000,Y
264976,PASS,XX-0000,SM-2400,TH-1100,N
265176,PASS,XX-0000,EM-0200,AT-0900,N
266098,RUSH,VY-0100,XX-0000,XX-0000,Y
266463,PASS,XX-0000,RB-3900,CC-1300,N
266624,PASS,XX-0000,BJ-1400,TT-0400,N
266795,PASS,XX-0000,DB-3800,JH-5200,Y
267268,PASS,XX-0000,MB-4800,IB-0200,Y
271632,PASS,XX-0000,MB-4500,SM-3600,Y
272926,PASS,XX-0000,JH-1700,MB-2800,Y
274375,PASS,XX-0000,PM-0200,MH-1200,N
274420,PASS,XX-0000,MB-4500,CC-4300,Y
274544,RUSH,TR-0800,XX-0000,XX-0000,Y
274872,PASS,XX-0000,MS-0200,EB-0900,N
275078,PASS,XX-0000,DB-3800,BM-2200,Y
275236,PASS,XX-0000,SR-1200,AJ-0900,N
275544,PASS,XX-0000,DH-4300,TG-1300,Y
276164,PASS,XX-0000,PM-0200,RW-1100,Y
276613,PASS,XX-0000,TR-0800,TO-0200,Y
277172,PASS,XX-0000,TR-0800,PC-0900,N
278556,PASS,XX-0000,PR-0300,VJ-0100,Y
280540,PASS,XX-0000,TB-2300,RC-0100,Y
281501,PASS,XX-0000,MB-4800,IB-0200,N
284784,PASS,XX-0000,ML-1000,AB-2000,N
285450,PASS,XX-0000,DC-0700,WL-0200,Y
286698,PASS,XX-0000,MH-1600,JS-6400,Y
287541,PASS,XX-0000,TB-2300,TB-3300,Y
290137,PASS,XX-0000,XX-0000,XX-0000,N
290394,PASS,XX-0000,JH-1700,MB-2800,Y
293116,PASS,XX-0000,TJ-0300,TT-0400,N
293277,RUSH,TB-0400,XX-0000,XX-0000,N
293287,PASS,XX-0000,JG-0600,LS-1000,Y
297602,PASS,XX-0000,JK-1500,MW-2700,N
297781,RUSH,QG-0200,XX-0000,XX-0000,N
299693,PASS,XX-0000,TG-1600,KW-2000,Y
299878,PASS,XX-0000,MH-1600,DB-3600,N
300877,RUSH,KF-0200,XX-0000,XX-0000,Y
301190,PASS,XX-0000,PM-0200,MH-1200,Y
302011,PASS,XX-0000,JC-6200,JW-0400,N
303267,PASS,XX-0000,JK-1500,SM-1400,N
303577,PASS,XX-0000,XX-0000,XX-0000,N
303744,RUSH,RJ-1800,XX-0000,XX-0000,Y
306189,PASS,XX-0000,JM-2900,RC-3100,Y
307319,RUSH,RB-3900,XX-0000,XX-0000,Y
308116,RUSH,KW-0800,XX-0000,XX-0000,N
311498,PASS,XX-0000,GF-0400,TH-2300,Y
312123,PASS,XX-0000,JC-0500,CC-4300,Y
313518,PASS,XX-0000,TR-0800,TO-0200,N
313864,RUSH,SG-0100,XX-0000,XX-0000,Y
314982,PASS,XX-0000,XX-0000,XX-0000,N
315820,PASS,XX-0000,AB-2000,LF-0200,N
315970,RUSH,RB-4900,XX-0000,XX-0000,Y
316622,PASS,XX-0000,TD-1400,AB-0800,N
316769,PASS,XX-0000,JG-0600,AB-1100,N
316908,PASS,XX-0000,SR-1200,AD-0400,Y
317100,PASS,XX-0000,DH-4300,DB-3200,N
317288,PASS,XX-0000,CP-0900,LW-0500,Y
320776,RUSH,PH-0600,XX-0000,XX-0000,Y
321434,PASS,XX-0000,JC-0500,AR-0200,Y
321619,PASS,XX-0000,DA-1300,BE-0200,N
321647,PASS,XX-0000,DA-1300,JJ-5200,Y
322574,RUSH,ML-2500,XX-0000,XX-0000,Y
322733,PASS,XX-0000,BR-1100,HW-0100,Y
323320,PASS,XX-0000,JC-0500,AR-0200,N
323365,PASS,XX-0000,DM-2200,HB-0100,N
323411,PASS,XX-0000,DM-2200,MS-0500,N
323541,RUSH,RB-4900,XX-0000,XX-0000,Y
323562,PASS,XX-0000,DB-3800,MC-2400,N
323579,RUSH,RB-4900,XX-0000,XX-0000,Y
324255,PASS,XX-0000,MS-0600,MW-1700,N
324347,PASS,XX-0000,PM-0200,BF-0700,Y
324352,RUSH,JA-0300,XX-0000,XX-0000,N
330064,PASS,XX-0000,CR-0600,RW-2200,N
330720,RUSH,DG-0600,XX-0000,XX-0000,Y
331655,PASS,XX-0000,JC-5600,KW-2300,Y
334498,PASS,XX-0000,KC-1400,CB-0300,N
334786,PASS,XX-0000,KB-1300,DD-0200,N
336201,PASS,XX-0000,CW-3200,SH-1300,Y
336840,RUSH,JA-0300,XX-0000,XX-0000,Y
337292,PASS,XX-0000,TC-2300,CC-4300,N
337500,RUSH,BB-2400,XX-0000,XX-0000,Y
337913,PASS,XX-0000,CP-0500,KW-0800,N
338084,PASS,XX-0000,KO-0700,GO-0100,Y
338293,RUSH,DW-0200,XX-0000,XX-0000,Y
338409,PASS,XX-0000,DH-4300,TG-1300,N
338938,PASS,XX-0000,JR-3500,RC-3100,Y
339279,PASS,XX-0000,LM-0800,MC-1500,N
339621,PASS,XX-0000,TS-2600,DD-0200,N
339862,PASS,XX-0000,TC-2300,CC-4300,N
340229,RUSH,LM-0300,XX-0000,XX-0000,Y
340733,PASS,XX-0000,JB-2100,DH-0300,Y
341382,RUSH,PT-0400,XX-0000,XX-0000,Y
342005,RUSH,TJ-0300,XX-0000,XX-0000,Y
342017,RUSH,TJ-0300,XX-0000,XX-0000,Y
342323,PASS,XX-0000,MB-4800,RM-3100,N
342850,PASS,XX-0000,MH-1600,MP-1500,Y
343004,RUSH,BR-1100,XX-0000,XX-0000,N
343017,PASS,XX-0000,BR-1100,NW-0100,N
344792,PASS,XX-0000,BF-0100,LW-0500,N
346713,PASS,XX-0000,TJ-0300,SR-0500,N
347049,PASS,XX-0000,TT-0900,MC-2700,Y
347360,RUSH,DR-1300,XX-0000,XX-0000,Y
347493,PASS,XX-0000,JC-0500,LB-0400,N
348973,PASS,XX-0000,PR-0300,LN-0100,Y
348987,PASS,XX-0000,JC-6200,ER-0500,Y
350377,PASS,XX-0000,KO-0700,BL-1200,Y
351086,PASS,XX-0000,DB-3800,RB-4900,N
351864,PASS,XX-0000,XX-0000,XX-0000,N
351886,PASS,XX-0000,BF-0100,CS-4200,N
352202,PASS,XX-0000,XX-0000,XX-0000,N
352489,RUSH,EJ-0200,XX-0000,XX-0000,Y
352498,PASS,XX-0000,KW-0500,AB-2000,N
352549,RUSH,LW-0500,XX-0000,XX-0000,Y
352716,PASS,XX-0000,JO-0700,FG-0200,Y
353370,PASS,XX-0000,TE-0100,LE-0300,Y
353521,PASS,XX-0000,PR-0300,DS-3300,Y
355930,PASS,XX-0000,CP-0500,BU-0300,N
356103,PASS,XX-0000,BR-1100,HM-0200,N
356744,PASS,XX-0000,BF-0100,JC-5400,N
357382,RUSH,SS-1600,XX-0000,XX-0000,N
358469,PASS,XX-0000,DA-1300,BE-0200,Y
359856,PASS,XX-0000,DO-0300,CJ-1100,Y
360221,PASS,XX-0000,DA-1300,BE-0200,Y
362143,PASS,XX-0000,JC-0500,CP-2100,N
362906,PASS,XX-0000,KC-2000,AH-0300,Y
363276,PASS,XX-0000,DG-0600,JP-3400,N
363407,PASS,XX-0000,JG-0600,IH-0100,N
363443,PASS,XX-0000,JG-0600,AS-1700,Y
363919,PASS,XX-0000,MB-4800,DS-3700,N
365015,RUSH,KF-0200,XX-0000,XX-0000,N
365026,PASS,XX-0000,PM-0200,RW-1100,Y
366322,PASS,XX-0000,SW-0100,JC-0700,N
366626,PASS,XX-0000,JF-1900,DM-0500,Y
366904,PASS,XX-0000,DC-3200,BC-2500,N
366997,PASS,XX-0000,TT-0900,TG-1300,N
367307,PASS,XX-0000,EM-0200,PB-1000,N
367487,PASS,XX-0000,KW-0500,LF-0200,N
367642,PASS,XX-0000,MC-0700,JG-0100,Y
369141,RUSH,DC-4400,XX-0000,XX-0000,N
369613,PASS,XX-0000,MH-1600,BE-0600,N
371077,PASS,XX-0000,SH-1100,IB-0200,N
371858,RUSH,DW-3600,XX-0000,XX-0000,Y
372255,PASS,XX-0000,DJ-1700,CC-0200,N
372668,PASS,XX-0000,AR-1300,RM-0900,Y
372675,RUSH,DM-0700,XX-0000,XX-0000,N
373138,PASS,XX-0000,KW-0500,LF-0200,N
373775,PASS,XX-0000,AR-1300,GJ-0400,Y
374539,PASS,XX-0000,PR-0300,MF-0800,N
375829,PASS,XX-0000,MS-0200,AJ-0900,Y
376589,RUSH,RB-4900,XX-0000,XX-0000,N
376602,PASS,XX-0000,MR-2500,MJ-0800,Y
377069,PASS,XX-0000,MC-0700,WW-0200,Y
378508,PASS,XX-0000,PR-0300,CC-1300,N
378514,PASS,XX-0000,PR-0300,AG-0500,N
379139,PASS,XX-0000,DO-0300,CF-0600,Y
379309,RUSH,MJ-2500,XX-0000,XX-0000,N
379955,PASS,XX-0000,JR-3500,CS-0600,N
380107,PASS,XX-0000,TR-0800,RW-3200,N
382627,PASS,XX-0000,EM-0200,DH-3200,Y
383358,PASS,XX-0000,TT-0900,TG-1300,N
384903,PASS,XX-0000,BF-0100,JC-5400,Y
385244,RUSH,JC-6200,XX-0000,XX-0000,Y
386259,PASS,XX-0000,JD-1400,DW-3600,N
386877,PASS,XX-0000,DM-2200,BW-1000,N
386893,PASS,XX-0000,KW-0500,BP-0300,Y
387860,PASS,XX-0000,KO-0700,BM-0300,N
388302,RUSH,MJ-2500,XX-0000,XX-0000,N
389283,PASS,XX-0000,AR-1300,GJ-0400,Y
389437,PASS,XX-0000,TB-2300,BW-0700,N
389442,PASS,XX-0000,TB-2300,RM-5000,N
391260,PASS,XX-0000,BL-0600,MS-5100,N
392511,PASS,XX-0000,CP-0500,AC-0100,N
392536,PASS,XX-0000,CP-0500,BL-0900,Y
392683,PASS,XX-0000,MS-4100,BJ-1800,N
394140,PASS,XX-0000,JC-6200,EB-0600,Y
394762,RUSH,TC-1300,XX-0000,XX-0000,Y
395607,PASS,XX-0000,KC-2000,AC-2700,N
395636,RUSH,CJ-1700,XX-0000,XX-0000,Y
395792,RUSH,MC-0700,XX-0000,XX-0000,N
397059,PASS,XX-0000,AR-1300,RG-1600,N
397522,PASS,XX-0000,JD-1400,SS-2100,Y
403360,PASS,XX-0000,DB-3800,MC-2400,N
403978,PASS,XX-0000,MS-0200,AJ-0900,Y
404458,PASS,XX-0000,MS-4100,MM-5300,Y
404635,PASS,XX-0000,AR-1300,RG-1600,N
404797,PASS,XX-0000,PM-0200,PG-0100,N
404960,PASS,XX-0000,MS-0100,BE-0200,N
404976,PASS,XX-0000,CH-2400,GC-0200,N
404985,PASS,XX-0000,MS-0100,DK-0400,N
406606,PASS,XX-0000,MC-0700,JC-2300,Y
406725,PASS,XX-0000,TB-2300,RM-5000,Y
406911,PASS,XX-0000,JF-3100,KW-2300,N
406930,PASS,XX-0000,JF-3100,MC-1500,Y
407244,PASS,XX-0000,JR-3700,SV-0100,N
408202,PASS,XX-0000,MR-2500,JS-4800,N
408726,PASS,XX-0000,MS-0100,BE-0200,N
408767,PASS,XX-0000,XX-0000,XX-0000,N
409043,PASS,XX-0000,MB-4800,DF-0500,N
410544,RUSH,DW-3600,XX-0000,XX-0000,Y
411026,RUSH,JL-1400,XX-0000,XX-0000,Y
411299,PASS,XX-0000,BM-3600,JR-1200,N
411356,RUSH,DG-0600,XX-0000,XX-0000,Y
411666,PASS,XX-0000,MH-1600,JC-0700,N
412786,PASS,XX-0000,JC-6200,MF-1300,Y
414285,RUSH,CK-0900,XX-0000,XX-0000,N
414600,PASS,XX-0000,DM-2200,LM-1000,Y
416361,PASS,XX-0000,DC-4400,CJ-1100,N
416684,PASS,XX-0000,MS-0200,CB-3600,N
416988,PASS,XX-0000,CH-2400,AF-0200,N
417525,RUSH,BQ-0100,XX-0000,XX-0000,N
418792,PASS,XX-0000,AR-1300,GJ-0400,Y
419144,RUSH,KM-2900,XX-0000,XX-0000,N
420597,PASS,XX-0000,DM-2200,JA-2900,Y
422251,PASS,XX-0000,AR-1300,BJ-0300,Y
422577,RUSH,RW-2600,XX-0000,XX-0000,Y
422894,RUSH,CP-0500,XX-0000,XX-0000,Y
423044,RUSH,JF-3100,XX-0000,XX-0000,Y
423210,PASS,XX-0000,MM-4700,KM-2600,N
423360,RUSH,QG-0100,XX-0000,XX-0000,N
424811,PASS,XX-0000,XX-0000,XX-0000,N
425600,RUSH,DB-4800,XX-0000,XX-0000,N
425623,PASS,XX-0000,MS-0100,DK-0400,Y
425651,PASS,XX-0000,MS-0100,BE-0200,Y
428990,RUSH,WM-0300,XX-0000,XX-0000,N
430292,PASS,XX-0000,DB-3800,LM-1500,Y
430776,PASS,XX-0000,JC-6200,DA-1700,N
433728,PASS,XX-0000,SH-1100,CJ-1100,Y
434026,PASS,XX-0000,KC-2000,KB-1900,Y
434770,PASS,XX-0000,MS-0100,BE-0200,Y
435453,PASS,XX-0000,AS-1600,VD-0100,Y
437547,PASS,XX-0000,PR-0300,LN-0100,Y
439963,PASS,XX-0000,KK-1200,JA-2900,N
440446,PASS,XX-0000,RF-0500,SJ-0600,N
440574,RUSH,CB-1400,XX-0000,XX-0000,Y
442113,PASS,XX-0000,JC-0500,JH-3700,N
442604,PASS,XX-0000,BF-0100,VS-0100,N
444160,PASS,XX-0000,JF-3100,MW-2800,N
445115,PASS,XX-0000,CP-0500,CJ-1200,N
445118,PASS,XX-0000,CP-0500,CJ-1200,N
445128,PASS,XX-0000,MR-2500,RW-2200,Y
446133,RUSH,JF-3100,XX-0000,XX-0000,N
447310,PASS,XX-0000,JK-1500,JW-6000,Y
447796,PASS,XX-0000,DM-2200,FD-0200,N
447804,PASS,XX-0000,MS-4100,NB-0800,N
447806,PASS,XX-0000,DM-2200,FD-0200,N
447825,PASS,XX-0000,MS-4100,BJ-1800,Y
447838,PASS,XX-0000,MS-4100,BP-0600,N
448650,PASS,XX-0000,VY-0100,CJ-1700,N
448980,PASS,XX-0000,TJ-0300,PH-0400,Y
449780,RUSH,FJ-0100,XX-0000,XX-0000,N
449793,PASS,XX-0000,JC-6200,MF-1300,Y
450618,RUSH,MT-1300,XX-0000,XX-0000,Y
451800,PASS,XX-0000,MR-2500,JS-4800,N
451978,PASS,XX-0000,SH-1100,BP-0600,N
452639,RUSH,RB-3900,XX-0000,XX-0000,N
453136,PASS,XX-0000,MC-0700,DB-3200,N
453162,PASS,XX-0000,MC-0700,DB-3200,N
453476,PASS,XX-0000,DA-1300,LF-0200,Y
453842,PASS,XX-0000,TB-2300,BT-0300,N
453849,RUSH,MM-4800,XX-0000,XX-0000,Y
453864,RUSH,MM-4800,XX-0000,XX-0000,Y
456009,PASS,XX-0000,MR-2500,RW-2200,Y
456463,PASS,XX-0000,MV-0300,JA-2900,Y
457914,RUSH,AB-2600,XX-0000,XX-0000,Y
458905,PASS,XX-0000,KO-0700,JG-0100,N
459540,PASS,XX-0000,CP-0500,JG-3700,Y
461422,PASS,XX-0000,JK-1500,RW-3200,Y
462658,RUSH,JF-3100,XX-0000,XX-0000,Y
464322,PASS,XX-0000,MS-0200,JJ-3900,Y
464753,PASS,XX-0000,RG-2300,CC-4300,Y
464768,PASS,XX-0000,RG-2300,MS-0800,Y
465775,RUSH,TH-1600,XX-0000,XX-0000,N
466277,PASS,XX-0000,CW-1900,BO-0100,Y
468368,PASS,XX-0000,CW-1900,BO-0100,Y
469842,PASS,XX-0000,SW-0100,BW-0700,N
472323,RUSH,DW-5100,XX-0000,XX-0000,N
472763,PASS,XX-0000,MV-0300,LM-1000,N
473387,RUSH,SM-3400,XX-0000,XX-0000,Y
473891,RUSH,AR-0200,XX-0000,XX-0000,Y
474225,RUSH,MR-2500,XX-0000,XX-0000,N
475153,RUSH,SK-0600,XX-0000,XX-0000,Y
477157,PASS,XX-0000,RG-2300,SM-3600,N
478445,PASS,XX-0000,AD-0100,JS-3300,N
478801,RUSH,DW-4300,XX-0000,XX-0000,Y
479318,PASS,XX-0000,CN-0500,GO-0100,Y
479628,PASS,XX-0000,DB-3800,LM-1500,Y
479649,PASS,XX-0000,DB-3800,LM-1500,Y
479972,RUSH,BJ-0600,XX-0000,XX-0000,Y
482180,PASS,XX-0000,CN-0500,LN-0100,N
483822,RUSH,KM-2900,XX-0000,XX-0000,N
483993,PASS,XX-0000,JC-0500,CS-0600,N
484963,RUSH,AB-2600,XX-0000,XX-0000,Y
485756,PASS,XX-0000,JC-0500,DM-3100,N
486318,RUSH,WM-0300,XX-0000,XX-0000,Y
486327,PASS,XX-0000,TT-0700,BL-1200,N
486441,PASS,XX-0000,AR-1300,JF-1600,N
486947,PASS,XX-0000,MS-4100,CJ-1100,N
489592,PASS,XX-0000,JF-3100,MW-2800,N
489740,PASS,XX-0000,MM-4700,BM-0300,N
489788,RUSH,TT-0700,XX-0000,XX-0000,Y
490112,PASS,XX-0000,KK-1200,JK-1200,N
492424,PASS,XX-0000,TJ-0300,BO-0100,N
493076,PASS,XX-0000,PR-0300,CB-3000,Y
493723,PASS,XX-0000,CM-1500,JC-5600,N
493883,RUSH,RF-0500,XX-0000,XX-0000,Y
494042,PASS,XX-0000,JB-2100,LH-0600,Y
496989,PASS,XX-0000,JF-3100,MW-2800,N
497657,PASS,XX-0000,AS-1600,MC-2900,Y
498348,PASS,XX-0000,CN-0500,SS-2100,Y
498488,PASS,XX-0000,JF-3100,KW-2300,N
500471,PASS,XX-0000,MS-4100,TY-0300,Y
501924,PASS,XX-0000,CP-0400,AC-2100,N
504755,RUSH,TT-0700,XX-0000,XX-0000,Y
505273,RUSH,DW-1000,XX-0000,XX-0000,Y
505917,RUSH,DH-1700,XX-0000,XX-0000,N
506739,RUSH,PT-0400,XX-0000,XX-0000,N
508111,RUSH,DW-1000,XX-0000,XX-0000,Y
508547,PASS,XX-0000,JF-3100,KW-2300,Y
508899,PASS,XX-0000,RF-0500,MC-0800,N
510399,PASS,XX-0000,MS-0100,JK-1000,N
510428,RUSH,BC-2000,XX-0000,XX-0000,N
511551,RUSH,JS-3700,XX-0000,XX-0000,N
512373,PASS,XX-0000,XX-0000,XX-0000,N
513339,RUSH,JM-2900,XX-0000,XX-0000,Y
514450,PASS,XX-0000,JF-3100,KW-2300,Y
514468,RUSH,JF-3100,XX-0000,XX-0000,N
514633,PASS,XX-0000,MS-4100,TS-0700,Y
515143,RUSH,DW-4300,XX-0000,XX-0000,Y
515352,RUSH,JD-1400,XX-0000,XX-0000,N
517011,RUSH,FG-0200,XX-0000,XX-0000,N
517017,PASS,XX-0000,DB-3800,DS-3300,Y
518042,RUSH,DW-1000,XX-0000,XX-0000,N
519191,RUSH,DS-3300,XX-0000,XX-0000,Y
519698,PASS,XX-0000,BG-0100,JB-3650,Y
520167,PASS,XX-0000,AR-1300,JN-0900,Y
520323,PASS,XX-0000,BR-1100,LP-0700,N
520335,PASS,XX-0000,PM-0200,WM-0300,Y
520359,RUSH,WM-0300,XX-0000,XX-0000,N
520685,PASS,XX-0000,CP-0500,RS-3250,Y
521676,RUSH,AB-3400,XX-0000,XX-0000,Y
522207,PASS,XX-0000,TB-2300,RG-2200,N
522342,RUSH,DR-1450,XX-0000,XX-0000,Y
523996,RUSH,MJ-2500,XX-0000,XX-0000,N
524886,PASS,XX-0000,MS-4100,NB-0800,Y
525275,RUSH,MB-3000,XX-0000,XX-0000,N
526088,PASS,XX-0000,AR-1300,JJ-4200,N
526557,PASS,XX-0000,XX-0000,XX-0000,N
527766,PASS,XX-0000,RT-0150,JL-0260,Y
528098,PASS,XX-0000,JF-3100,MW-2800,N
528633,PASS,XX-0000,KO-0700,DB-5300,Y
529258,PASS,XX-0000,AL-1100,RW-1100,N
529294,PASS,XX-0000,AR-1300,JJ-4200,N
529310,RUSH,DB-4800,XX-0000,XX-0000,Y
531591,PASS,XX-0000,SB-1100,SJ-0200,Y
532318,PASS,XX-0000,TR-0800,DB-5300,N
532968,PASS,XX-0000,CP-2000,KR-1200,Y
532983,PASS,XX-0000,XX-0000,XX-0000,N
535249,PASS,XX-0000,BR-1100,HM-0200,Y
535648,PASS,XX-0000,JF-3100,MW-2800,N
535816,PASS,XX-0000,JC-6200,BM-0300,N
536315,PASS,XX-0000,MS-0100,DK-0400,N
536588,PASS,XX-0000,BG-0100,JB-3650,N
538273,PASS,XX-0000,JF-1900,AB-2000,Y
538419,PASS,XX-0000,BG-0100,RJ-0800,Y
538444,PASS,XX-0000,BG-0100,JP-0800,N
539085,PASS,XX-0000,MH-1600,KB-1900,Y
539451,PASS,XX-0000,CP-0500,JC-5660,Y
541535,RUSH,AP-0700,XX-0000,XX-0000,Y
543617,PASS,XX-0000,JF-3100,VJ-0100,Y
543938,PASS,XX-0000,SB-1100,BQ-1500,N
545158,RUSH,TR-0800,XX-0000,XX-0000,Y
545432,RUSH,AP-1800,XX-0000,XX-0000,Y
547378,PASS,XX-0000,XX-0000,XX-0000,N
547941,RUSH,MO-0500,XX-0000,XX-0000,Y
548954,PASS,XX-0000,SB-1100,LK-0200,Y
550023,PASS,XX-0000,NF-0250,JA-2900,N
550318,PASS,XX-0000,CP-0500,DM-3100,N
550596,PASS,XX-0000,XX-0000,XX-0000,N
550643,PASS,XX-0000,SB-1100,CG-1060,Y
550968,PASS,XX-0000,NF-0250,DL-1700,N
551443,PASS,XX-0000,MR-2500,RW-2200,N
551645,RUSH,KC-2350,XX-0000,XX-0000,Y
553478,PASS,XX-0000,RT-0150,AF-0200,Y
553777,PASS,XX-0000,SB-1100,DA-0900,Y
557796,RUSH,CM-1500,XX-0000,XX-0000,N
558753,PASS,XX-0000,JF-3100,MW-2800,N
559761,PASS,XX-0000,CH-2400,JS-2300,N
560696,PASS,XX-0000,TR-0800,DH-1800,Y
561332,PASS,XX-0000,RW-3850,ZM-0200,Y
562070,PASS,XX-0000,MS-0200,AJ-0900,Y
562556,PASS,XX-0000,CK-0100,RM-5000,N
564215,PASS,XX-0000,RW-3850,DB-0500,N
564718,RUSH,SB-1100,XX-0000,XX-0000,Y
564920,PASS,XX-0000,TR-0800,DB-5300,N
565084,PASS,XX-0000,RG-1850,AR-1200,N
566152,RUSH,AF-0900,XX-0000,XX-0000,Y
566469,PASS,XX-0000,EM-0250,RW-4050,Y
566843,PASS,XX-0000,RG-1850,JR-1150,N
567340,PASS,XX-0000,CP-0500,MF-0950,N
567496,PASS,XX-0000,CH-2400,SB-2100,N
568063,RUSH,ZE-0100,XX-0000,XX-0000,N
570350,PASS,XX-0000,EM-0250,SJ-0600,Y
570882,RUSH,BC-3070,XX-0000,XX-0000,Y
571058,PASS,XX-0000,JC-6200,AJ-0430,Y
571072,PASS,XX-0000,JC-6200,BM-0300,Y
573941,PASS,XX-0000,AL-1100,DH-2800,N
573968,PASS,XX-0000,AL-1100,RW-1100,Y
574482,RUSH,MF-1300,XX-0000,XX-0000,Y
574648,PASS,XX-0000,MS-4100,KD-1700,N
575127,RUSH,TR-0800,XX-0000,XX-0000,N
575135,PASS,XX-0000,TR-0800,TW-2270,Y
577230,PASS,XX-0000,CH-2400,JB-3650,N
577764,PASS,XX-0000,PP-0400,LF-0200,N
578300,PASS,XX-0000,CP-0500,MF-0950,N
580491,PASS,XX-0000,PM-0200,DT-0900,N
582045,RUSH,ES-0200,XX-0000,XX-0000,Y
584737,PASS,XX-0000,JF-1900,MB-4050,Y
584896,PASS,XX-0000,AL-1100,GW-0650,N
584923,PASS,XX-0000,AL-1100,CF-0650,Y
585594,RUSH,MF-1300,XX-0000,XX-0000,N
585713,PASS,XX-0000,AL-1100,CF-0650,Y
587358,PASS,XX-0000,RT-0150,MW-0500,N
588756,PASS,XX-0000,DD-0450,TG-1300,Y
589101,PASS,XX-0000,RG-1850,NW-0500,Y
589119,RUSH,RG-1850,XX-0000,XX-0000,Y
590616,PASS,XX-0000,BW-0850,DB-1800,Y
591067,PASS,XX-0000,MF-1000,AQ-0100,N
591466,PASS,XX-0000,KC-1400,IP-0300,Y
591618,PASS,XX-0000,AL-1100,DH-2800,Y
591965,RUSH,AB-3400,XX-0000,XX-0000,Y
592820,PASS,XX-0000,BR-1100,ES-0200,N
595302,RUSH,CO-0300,XX-0000,XX-0000,N
595336,PASS,XX-0000,TB-2300,JE-0100,Y
595384,RUSH,SV-0200,XX-0000,XX-0000,N
595859,PASS,XX-0000,MF-1000,JJ-4200,N
596025,PASS,XX-0000,MC-0700,GJ-0400,N
596059,PASS,XX-0000,JF-1900,TS-2300,Y
596617,PASS,XX-0000,MS-4100,JB-2700,Y
596667,PASS,XX-0000,MS-4100,JF-0650,N
596675,PASS,XX-0000,NF-0250,LM-1000,N
596690,RUSH,BB-3350,XX-0000,XX-0000,Y
596698,PASS,XX-0000,NF-0250,RC-2300,Y
596713,PASS,XX-0000,NF-0250,DJ-0200,N
596724,RUSH,CP-1950,XX-0000,XX-0000,N
597647,PASS,XX-0000,JM-2900,BM-0300,Y
598535,PASS,XX-0000,KC-2350,PG-0100,N
599154,RUSH,PT-0400,XX-0000,XX-0000,N
599324,PASS,XX-0000,NF-0250,RC-2300,N
599360,PASS,XX-0000,NF-0250,RC-2300,Y
600069,PASS,XX-0000,MF-1000,AQ-0100,N
600221,PASS,XX-0000,AD-0100,TE-0300,N
600388,PASS,XX-0000,MS-4100,CJ-1100,N
601966,PASS,XX-0000,MS-4100,JF-0650,Y
602182,RUSH,RM-3900,XX-0000,XX-0000,Y
602828,PASS,XX-0000,JC-6200,EB-0600,Y
603459,RUSH,RR-0400,XX-0000,XX-0000,Y
604469,PASS,XX-0000,XX-0000,XX-0000,N
604599,PASS,XX-0000,TB-2300,JE-0100,Y
604955,PASS,XX-0000,KC-1400,JC-4300,N
605630,PASS,XX-0000,KO-0700,DB-5300,N
606421,RUSH,MI-0100,XX-0000,XX-0000,Y
606583,RUSH,SR-0700,XX-0000,XX-0000,Y
607096,RUSH,SV-0200,XX-0000,XX-0000,N
607367,PASS,XX-0000,PM-0200,WW-0200,Y
